productCode,productName,productDescription,imageUrl,productType,materialType,subcategory,tags
PKTB101,Cotton Tote Bags,"Carry your world and your values with our bespoke eco-friendly totes!
- Personalize your tote with unique designs. - Available sizes: 15x16 in | 11x12 in.
- Made from premium 140 gsm natural cotton and 320 gsm canvas cotton.
- Color Options: Natural shade
- Printing Techniques: Digital and Single color screen printing.
- Great option for events and promotions, Perfect companion for your yoga class, or everyday errands.",Cotton Tote Bags.jpg;Cotton Tote Bags2.jpg;Cotton Tote Bags3.jpg,tote bags,cotton,4,PKTB101
PKTB102,Black Tote Bags,"Carry your world and your values with our bespoke eco-friendly totes!
Personalize your tote with unique designs. Available sizes: 15x16 in | 11x12 in.
Made from premium 140 gsm natural cotton and 320 gsm canvas cotton.
Color Options: Black.
Printing Techniques: Digital and Single color screen printing.
Great option for events and promotions, Perfect companion for your yoga class, or everyday errands.",Black Tote Bags.jpg;Black Tote Bags2.jpg; Black Tote Bags3.jpg,tote bags,cotton,4,PKTB102
